primary_title,runtime_minutes,genres,production_budget,worldwide_gross,year,ROI
After Earth,100,Drama,130000000,251499665,2013,93
Florence Foster Jenkins,111,Biography,29000000,56000339,2016,93
Florence Foster Jenkins,111,Comedy,29000000,56000339,2016,93
Florence Foster Jenkins,111,Drama,29000000,56000339,2016,93
Animal Kingdom,113,Crime,4200000,8078683,2010,92
Animal Kingdom,113,Drama,4200000,8078683,2010,92
Exodus: Gods and Kings,150,Action,140000000,268314513,2014,92
Exodus: Gods and Kings,150,Adventure,140000000,268314513,2014,92
Exodus: Gods and Kings,150,Drama,140000000,268314513,2014,92
Jack and Jill,91,Comedy,79000000,150519217,2011,91
On the Basis of Sex,120,Biography,20000000,38073377,2018,90
On the Basis of Sex,120,Drama,20000000,38073377,2018,90
Young Adult,94,Comedy,12000000,22750356,2011,90
Young Adult,94,Drama,12000000,22750356,2011,90
Mile 22,94,Action,35000000,66295121,2018,89
Mile 22,94,Adventure,35000000,66295121,2018,89
Mile 22,94,Thriller,35000000,66295121,2018,89
The Dark Tower,95,Action,60000000,113461527,2017,89
The Dark Tower,95,Adventure,60000000,113461527,2017,89
The Dark Tower,95,Fantasy,60000000,113461527,2017,89
Snow Flower and the Secret Fan,104,Drama,6000000,11348205,2011,89
Snow Flower and the Secret Fan,104,History,6000000,11348205,2011,89
The Longest Ride,123,Drama,34000000,63802928,2015,88
The Longest Ride,123,Romance,34000000,63802928,2015,88
Pacific Rim: Uprising,111,Action,155000000,290930148,2018,88
Pacific Rim: Uprising,111,Adventure,155000000,290930148,2018,88
Pacific Rim: Uprising,111,Sci-Fi,155000000,290930148,2018,88
The Boxtrolls,96,Adventure,60000000,111946251,2014,87
The Boxtrolls,96,Animation,60000000,111946251,2014,87
The Boxtrolls,96,Comedy,60000000,111946251,2014,87
Mary Queen of Scots,124,Biography,25000000,46734733,2018,87
Mary Queen of Scots,124,Drama,25000000,46734733,2018,87
Mary Queen of Scots,124,History,25000000,46734733,2018,87
The 15:17 to Paris,94,Biography,30000000,56096200,2018,87
The 15:17 to Paris,94,Drama,30000000,56096200,2018,87
The 15:17 to Paris,94,Thriller,30000000,56096200,2018,87
Incarnate,91,Horror,5000000,9371036,2016,87
Incarnate,91,Thriller,5000000,9371036,2016,87
Something Borrowed,112,Comedy,35000000,65084116,2011,86
Something Borrowed,112,Drama,35000000,65084116,2011,86
Something Borrowed,112,Romance,35000000,65084116,2011,86
Kites,123,Action,9200000,17155193,2010,86
Kites,123,Drama,9200000,17155193,2010,86
Kites,123,Romance,9200000,17155193,2010,86
Black Mass,123,Biography,53000000,98837872,2015,86
Black Mass,123,Crime,53000000,98837872,2015,86
Black Mass,123,Drama,53000000,98837872,2015,86
Mr. Peabody & Sherman,92,Adventure,145000000,269806430,2014,86
Mr. Peabody & Sherman,92,Animation,145000000,269806430,2014,86
Mr. Peabody & Sherman,92,Comedy,145000000,269806430,2014,86
Widows,129,Crime,40000000,73866088,2018,85
Widows,129,Drama,40000000,73866088,2018,85
Widows,129,Thriller,40000000,73866088,2018,85
Youth,124,Comedy,13000000,24001573,2015,85
Youth,124,Drama,13000000,24001573,2015,85
Youth,124,Music,13000000,24001573,2015,85
The Great Gatsby,143,Drama,190000000,351040419,2013,85
The Great Gatsby,143,Romance,190000000,351040419,2013,85
Housefull,144,Comedy,10100000,18726300,2010,85
Burnt,101,Comedy,20000000,36773510,2015,84
Burnt,101,Drama,20000000,36773510,2015,84
Ramona and Beezus,103,Adventure,15000000,27469621,2010,83
Ramona and Beezus,103,Comedy,15000000,27469621,2010,83
Ramona and Beezus,103,Family,15000000,27469621,2010,83
Savages,131,Crime,45000000,82513490,2012,83
Savages,131,Drama,45000000,82513490,2012,83
Savages,131,Thriller,45000000,82513490,2012,83
Hot Tub Time Machine,101,Comedy,36000000,65967750,2010,83
Hot Tub Time Machine,101,Sci-Fi,36000000,65967750,2010,83
Rango,107,Adventure,135000000,245724600,2011,82
Rango,107,Animation,135000000,245724600,2011,82
