primary_title,runtime_minutes,genres,production_budget,worldwide_gross,year,ROI
Midnight in Paris,94,"Comedy,Fantasy,Romance",30000000,162502774,2011,442
Rio,96,"Adventure,Animation,Comedy",90000000,487519809,2011,442
Drive,100,"Crime,Drama",15000000,81357930,2011,442
Sinister 2,97,"Horror,Mystery,Thriller",10000000,54104225,2015,441
The Way Way Back,103,"Comedy,Drama",5000000,26853810,2013,437
Toy Story 3,103,"Adventure,Animation,Comedy",200000000,1068879522,2010,434
The Heat,117,"Action,Comedy,Crime",43000000,229727774,2013,434
ABCD (Any Body Can Dance),160,"Drama,Music",1900000,10137234,2013,434
Woman in Gold,109,"Biography,Drama,History",11000000,58586407,2015,433
A Haunted House 2,86,"Comedy,Fantasy",4000000,21206861,2014,430
Apollo 18,86,"Horror,Mystery,Sci-Fi",5000000,26517819,2011,430
The Grand Budapest Hotel,99,"Adventure,Comedy,Crime",31000000,163981261,2014,429
Gifted,101,Drama,7000000,36964656,2017,428
Transformers: Age of Extinction,165,"Action,Adventure,Sci-Fi",210000000,1104039076,2014,426
Rogue One: A Star Wars Story,133,"Action,Adventure,Sci-Fi",200000000,1049102856,2016,425
Inception,148,"Action,Adventure,Sci-Fi",160000000,835524642,2010,422
Pet Sematary,101,"Horror,Mystery,Thriller",21000000,109501146,2019,421
Flight,138,"Drama,Thriller",31000000,160558438,2012,418
50/50,100,"Comedy,Drama,Romance",8000000,41334735,2011,417
Our Idiot Brother,90,"Comedy,Drama",5000000,25861249,2011,417
Slender Man,93,"Horror,Mystery,Thriller",10000000,51723644,2018,417
Life of Pi,127,"Adventure,Drama,Fantasy",120000000,620912003,2012,417
Devil's Due,89,"Horror,Mystery,Thriller",7000000,36146087,2014,416
Super 8,112,"Mystery,Sci-Fi,Thriller",50000000,257972745,2011,416
Resident Evil: Afterlife,96,"Action,Adventure,Horror",57500000,295874190,2010,415
Madagascar 3: Europe's Most Wanted,93,"Adventure,Animation,Comedy",145000000,746921271,2012,415
Alice in Wonderland,108,"Adventure,Family,Fantasy",200000000,1025491110,2010,413
Alice in Wonderland,99,"Fantasy,Musical",200000000,1025491110,2010,413
Diary of a Wimpy Kid,94,"Comedy,Drama,Family",15000000,76954311,2010,413
The Smurfs,103,"Adventure,Animation,Comedy",110000000,563749323,2011,412
My Big Fat Greek Wedding 2,94,"Comedy,Romance",18000000,92096558,2016,412
Finding Dory,97,"Adventure,Animation,Comedy",200000000,1021215193,2016,411
"Paul, Apostle of Christ",108,"Adventure,Biography,Drama",5000000,25529498,2018,411
Argo,120,"Biography,Drama,Thriller",44500000,227140757,2012,410
Maze Runner: The Scorch Trials,131,"Action,Sci-Fi,Thriller",61000000,310566162,2015,409
We Are Your Friends,96,"Drama,Music,Romance",2000000,10153415,2015,408
Rise of the Planet of the Apes,105,"Action,Drama,Sci-Fi",93000000,470986200,2011,406
Fast Five,130,"Action,Crime,Thriller",125000000,630163454,2011,404
Girls Trip,122,"Comedy,Drama",28000000,140886353,2017,403
Darkest Hour,125,"Biography,Drama,History",30000000,150807172,2017,403
Spider-Man: Homecoming,133,"Action,Adventure,Sci-Fi",175000000,880166350,2017,403
Step Up Revolution,99,"Drama,Music,Romance",33000000,165552290,2012,402
Identity Thief,111,"Adventure,Comedy,Crime",35000000,175361578,2013,401
The Fate of the Furious,136,"Action,Crime,Thriller",250000000,1234846267,2017,394
Burn,86,Documentary,225000,1109276,2012,393
The Intern,121,"Comedy,Drama",40000000,197115710,2015,393
"I, Tonya",120,"Biography,Comedy,Drama",11000000,53797409,2017,389
The Other Woman,109,"Comedy,Romance",40000000,195111193,2014,388
Inside Out,95,"Adventure,Animation,Comedy",175000000,854235992,2015,388
A Simple Favor,117,"Comedy,Crime,Drama",20000000,97628717,2018,388
